                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.2271,                  1.012,                 1.5248,                0.87231,                0.90888,                0.92757,                 0.5926,                 1.2825,                0.81553,                 1.7189,               0.004456,               0.004456,               0.004456
                     58,                 1.1845,                0.95473,                 1.4792,                0.91287,                0.88742,                0.92632,                0.59325,                 1.2556,                0.74048,                 1.6792,               0.004357,               0.004357,               0.004357
                     59,                 1.1875,                0.95498,                 1.4968,                0.93096,                0.90046,                   0.94,                0.59694,                 1.2796,                0.81637,                 1.6958,               0.004258,               0.004258,               0.004258
                     60,                 1.2122,                 1.0164,                 1.5479,                0.90976,                0.90267,                 0.9308,                0.61308,                 1.2511,                0.77887,                 1.6701,               0.004159,               0.004159,               0.004159
                     61,                 1.1718,                 0.9517,                 1.4755,                0.90202,                0.86233,                0.93613,                0.61339,                 1.2457,                0.73912,                 1.6374,                0.00406,                0.00406,                0.00406
                     62,                 1.1724,                0.92169,                 1.4588,                0.91221,                 0.8853,                0.92217,                0.58775,                 1.3103,                0.78616,                 1.6678,               0.003961,               0.003961,               0.003961
                     63,                 1.1616,                0.88534,                 1.4605,                0.95358,                0.88431,                0.94509,                0.59799,                   1.27,                0.73996,                 1.6677,               0.003862,               0.003862,               0.003862
                     64,                 1.1844,                0.88877,                 1.4955,                0.87617,                0.93761,                0.93372,                0.59479,                 1.2911,                0.75748,                 1.6765,               0.003763,               0.003763,               0.003763
                     65,                 1.1948,                0.85888,                 1.4854,                0.90454,                0.84178,                0.89903,                0.57486,                 1.3038,                0.83894,                 1.6981,               0.003664,               0.003664,               0.003664
                     66,                 1.1707,                0.87428,                 1.4681,                0.93299,                 0.8388,                0.94183,                0.59328,                 1.3169,                0.77279,                 1.7125,               0.003565,               0.003565,               0.003565
                     67,                 1.1454,                0.87268,                 1.4533,                0.88165,                0.87469,                0.91725,                0.58348,                 1.3046,                0.75176,                 1.7107,               0.003466,               0.003466,               0.003466
                     68,                  1.159,                 0.8411,                 1.4527,                0.93964,                0.87227,                0.94354,                0.59168,                 1.3309,                0.74291,                 1.7405,               0.003367,               0.003367,               0.003367
                     69,                 1.1268,                0.82195,                 1.4278,                0.92219,                0.87212,                0.93723,                0.59877,                 1.2918,                0.73878,                 1.6967,               0.003268,               0.003268,               0.003268
                     70,                 1.1337,                0.82936,                 1.4301,                0.92919,                0.90076,                0.94258,                0.61259,                 1.2664,                 0.7152,                 1.6631,               0.003169,               0.003169,               0.003169
                     71,                 1.0795,                0.81535,                 1.4217,                0.92246,                0.91954,                0.94647,                0.61035,                 1.2649,                0.69862,                  1.665,                0.00307,                0.00307,                0.00307
                     72,                 1.1132,                0.83977,                 1.4188,                0.92604,                0.91501,                0.94341,                0.60164,                 1.2503,                0.71464,                 1.6764,               0.002971,               0.002971,               0.002971
                     73,                 1.1229,                0.89848,                 1.4682,                0.95067,                0.91308,                0.94218,                0.61618,                  1.233,                0.64424,                  1.666,               0.002872,               0.002872,               0.002872
                     74,                 1.1425,                0.82705,                 1.4352,                0.93163,                0.91426,                0.94023,                 0.6369,                 1.2322,                0.64042,                 1.6516,               0.002773,               0.002773,               0.002773
                     75,                  1.096,                0.78557,                 1.3888,                0.94186,                0.89006,                0.94785,                 0.6326,                 1.2126,                0.64529,                 1.6253,               0.002674,               0.002674,               0.002674
                     76,                 1.0772,                0.77599,                  1.401,                0.95196,                 0.8837,                0.94052,                0.61476,                 1.2329,                0.67572,                  1.637,               0.002575,               0.002575,               0.002575
                     77,                 1.0948,                0.80053,                 1.4122,                0.95755,                0.88442,                0.94755,                0.61259,                 1.2716,                0.69692,                 1.6816,               0.002476,               0.002476,               0.002476
                     78,                  1.114,                0.81741,                 1.4002,                0.92839,                0.90222,                0.94291,                0.61125,                 1.2582,                0.66867,                 1.6845,               0.002377,               0.002377,               0.002377
                     79,                 1.0942,                 0.7805,                 1.4104,                0.95248,                0.91706,                 0.9521,                0.62084,                 1.2628,                0.62605,                  1.692,               0.002278,               0.002278,               0.002278
                     80,                 1.1244,                0.78161,                 1.4364,                0.96261,                0.88979,                0.95509,                0.62774,                 1.2391,                0.63001,                 1.6647,               0.002179,               0.002179,               0.002179
                     81,                    1.1,                0.77315,                 1.4394,                0.95853,                0.88638,                 0.9542,                0.61481,                 1.2804,                0.67351,                 1.6821,                0.00208,                0.00208,                0.00208
                     82,                 1.0733,                0.74316,                 1.4015,                0.95162,                0.89585,                0.95077,                0.62117,                 1.2474,                0.64958,                 1.6707,               0.001981,               0.001981,               0.001981
                     83,                 1.0727,                0.73734,                 1.3751,                0.94827,                0.90419,                0.95343,                0.61922,                 1.2322,                0.65524,                 1.6502,               0.001882,               0.001882,               0.001882
                     84,                  1.052,                0.71546,                 1.3704,                0.93125,                0.91673,                0.95302,                0.62908,                 1.2106,                0.64873,                 1.6347,               0.001783,               0.001783,               0.001783
                     85,                 1.0814,                0.78578,                 1.4086,                0.94134,                0.89391,                0.94432,                0.61214,                  1.232,                0.68563,                 1.6377,               0.001684,               0.001684,               0.001684
                     86,                 1.0546,                0.72861,                 1.3715,                0.95036,                0.89166,                0.93964,                0.60624,                 1.2655,                0.67575,                   1.66,               0.001585,               0.001585,               0.001585
                     87,                 1.0468,                0.69914,                 1.3735,                0.95982,                 0.9005,                0.93816,                0.60618,                 1.2676,                0.67747,                 1.6651,               0.001486,               0.001486,               0.001486
                     88,                 1.1127,                 0.7877,                 1.4304,                0.94594,                0.90803,                0.94121,                0.59771,                 1.2761,                0.66409,                 1.6699,               0.001387,               0.001387,               0.001387
                     89,                 1.0547,                 0.7053,                 1.3677,                0.93758,                0.89377,                0.93831,                0.60756,                 1.2657,                0.67047,                 1.6735,               0.001288,               0.001288,               0.001288
                     90,                0.93494,                0.52777,                 1.4306,                0.95286,                0.89759,                0.93677,                0.61095,                 1.2569,                0.64832,                  1.669,               0.001189,               0.001189,               0.001189
                     91,                0.94898,                0.53636,                 1.4376,                0.94927,                0.90006,                0.93558,                 0.6138,                 1.2389,                0.64647,                 1.6639,                0.00109,                0.00109,                0.00109
                     92,                0.93367,                0.49672,                  1.425,                0.95781,                0.89115,                0.93615,                0.61855,                 1.2478,                0.65822,                 1.6705,               0.000991,               0.000991,               0.000991
                     93,                0.95177,                0.50668,                 1.4398,                0.94393,                  0.881,                0.92615,                0.61477,                 1.2368,                0.67727,                 1.6543,               0.000892,               0.000892,               0.000892
                     94,                 0.9172,                  0.475,                 1.4403,                  0.945,                0.88476,                 0.9361,                0.62318,                 1.2312,                0.67293,                 1.6532,               0.000793,               0.000793,               0.000793
                     95,                0.91327,                0.48856,                 1.3902,                0.91431,                0.90363,                0.93518,                0.62084,                   1.23,                0.66855,                  1.658,               0.000694,               0.000694,               0.000694
                     96,                0.93507,                0.50013,                 1.4015,                 0.9127,                0.90615,                0.94195,                0.61996,                 1.2304,                0.62381,                 1.6566,               0.000595,               0.000595,               0.000595
                     97,                0.91415,                0.46773,                 1.3936,                0.91482,                0.90709,                0.94632,                0.63023,                 1.2304,                0.61522,                  1.655,               0.000496,               0.000496,               0.000496
                     98,                0.89761,                0.46632,                 1.4109,                0.92333,                0.89366,                0.94427,                0.63312,                  1.234,                0.61836,                 1.6562,               0.000397,               0.000397,               0.000397
                     99,                0.89219,                0.45528,                 1.3999,                0.91184,                0.90804,                0.94326,                0.63141,                 1.2309,                 0.6168,                 1.6526,               0.000298,               0.000298,               0.000298
