               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.027228,             0.01163,           0.0061194,             0.99105,             0.99588,               0.995,             0.74461,             0.01365,            0.004655,          0.00090164,            0.004786,            0.004786,            0.004786
                  81,            0.027319,            0.010775,           0.0050124,             0.98065,              0.9968,             0.99469,             0.77961,            0.012046,           0.0045943,          0.00090063,             0.00472,             0.00472,             0.00472
                  82,            0.024236,            0.010937,           0.0041494,             0.95615,             0.99074,             0.99282,             0.75098,            0.013835,           0.0046733,           0.0008672,            0.004654,            0.004654,            0.004654
                  83,            0.026931,            0.011735,           0.0040244,             0.98908,             0.96665,             0.99348,              0.7825,            0.013168,           0.0046446,          0.00084743,            0.004588,            0.004588,            0.004588
                  84,            0.024363,            0.011005,            0.004374,             0.99855,             0.98821,               0.995,             0.76302,            0.013226,           0.0046072,          0.00081055,            0.004522,            0.004522,            0.004522
                  85,            0.022611,            0.010559,           0.0034474,             0.99927,             0.97759,               0.995,             0.78288,            0.013504,           0.0045849,          0.00078694,            0.004456,            0.004456,            0.004456
                  86,            0.026418,            0.011554,           0.0051803,             0.97433,             0.99464,             0.99375,             0.77524,             0.01289,           0.0046274,          0.00075527,             0.00439,             0.00439,             0.00439
                  87,            0.023133,            0.010647,           0.0027721,             0.97581,             0.98982,             0.99371,             0.77455,             0.01481,           0.0047391,          0.00073875,            0.004324,            0.004324,            0.004324
                  88,              0.0272,            0.011378,           0.0035062,             0.92853,             0.98606,             0.98323,             0.79087,            0.013888,           0.0046225,          0.00067365,            0.004258,            0.004258,            0.004258
                  89,            0.022654,            0.011396,           0.0019643,              0.8717,             0.99404,             0.96693,             0.76062,            0.013702,           0.0046754,          0.00066115,            0.004192,            0.004192,            0.004192
                  90,            0.024568,             0.01263,           0.0037691,             0.89502,             0.95081,             0.97156,             0.77025,            0.014258,           0.0046437,          0.00062465,            0.004126,            0.004126,            0.004126
                  91,            0.030524,            0.011315,           0.0056872,             0.99354,             0.99281,               0.995,             0.81393,            0.011556,           0.0043995,          0.00061767,             0.00406,             0.00406,             0.00406
                  92,            0.023425,            0.010367,           0.0027435,             0.99306,             0.99367,               0.995,             0.80591,            0.014931,           0.0043868,          0.00062716,            0.003994,            0.003994,            0.003994
                  93,            0.023492,            0.011549,           0.0030851,             0.97124,             0.99901,             0.99375,             0.79764,            0.012077,           0.0042938,          0.00064899,            0.003928,            0.003928,            0.003928
                  94,            0.025886,            0.010362,           0.0034258,             0.97134,             0.99974,             0.99375,              0.7929,            0.012637,           0.0041549,          0.00066952,            0.003862,            0.003862,            0.003862
                  95,            0.021006,            0.010816,           0.0023586,             0.97189,             0.99904,             0.99371,             0.80972,            0.013266,            0.004119,          0.00068158,            0.003796,            0.003796,            0.003796
                  96,            0.021941,            0.010181,           0.0026028,             0.97254,             0.99933,             0.99371,             0.80159,            0.012329,           0.0040802,          0.00067798,             0.00373,             0.00373,             0.00373
                  97,            0.024717,            0.011776,           0.0052659,             0.99814,             0.99542,               0.995,             0.81185,            0.011175,           0.0040485,          0.00068947,            0.003664,            0.003664,            0.003664
                  98,            0.023134,            0.010445,           0.0026716,             0.97136,                   1,             0.99371,             0.82804,            0.011131,           0.0041158,          0.00068238,            0.003598,            0.003598,            0.003598
                  99,            0.021481,            0.010833,            0.005083,             0.97254,                   1,             0.99371,             0.80977,            0.011404,           0.0041223,          0.00066532,            0.003532,            0.003532,            0.003532
                 100,            0.023595,           0.0098726,           0.0025197,             0.99765,              0.9966,               0.995,              0.8181,            0.012984,           0.0041095,          0.00061567,            0.003466,            0.003466,            0.003466
